Statename,State,FIPS,COUNTY,checker,plumbing,total,rank
Georgia,GA,13063,Clayton County,"Clayton County, Georgia",0.726,85972,1032
Maryland,MD,24009,Calvert County,"Calvert County, Maryland",0.725,30916,1033
Indiana,IN,18151,Steuben County,"Steuben County, Indiana",0.724,13668,1034
Montana,MT,30063,Missoula County,"Missoula County, Montana",0.724,45565,1035
North Carolina,NC,37047,Columbus County,"Columbus County, North Carolina",0.724,21542,1036
Tennessee,TN,47097,Lauderdale County,"Lauderdale County, Tennessee",0.723,9826,1037
Louisiana,LA,22041,Franklin Parish,"Franklin Parish, Louisiana",0.721,7765,1038
Texas,TX,48493,Wilson County,"Wilson County, Texas",0.721,15122,1039
Tennessee,TN,47139,Polk County,"Polk County, Tennessee",0.720,6526,1040
Tennessee,TN,47073,Hawkins County,"Hawkins County, Tennessee",0.720,23467,1041
Nebraska,NE,31067,Gage County,"Gage County, Nebraska",0.720,9027,1042
Idaho,ID,16043,Fremont County,"Fremont County, Idaho",0.720,4583,1043
Maryland,MD,24011,Caroline County,"Caroline County, Maryland",0.720,11806,1044
Pennsylvania,PA,42009,Bedford County,"Bedford County, Pennsylvania",0.719,20159,1045
Georgia,GA,13261,Sumter County,"Sumter County, Georgia",0.719,11550,1046
Kentucky,KY,21063,Elliott County,"Elliott County, Kentucky",0.718,2508,1047
Pennsylvania,PA,42061,Huntingdon County,"Huntingdon County, Pennsylvania",0.717,16882,1048
South Dakota,SD,46067,Hutchinson County,"Hutchinson County, South Dakota",0.717,2930,1049
Vermont,VT,50023,Washington County,"Washington County, Vermont",0.716,24706,1050
Nebraska,NE,31161,Sheridan County,"Sheridan County, Nebraska",0.716,2373,1051
Nebraska,NE,31051,Dixon County,"Dixon County, Nebraska",0.716,2373,1051
Michigan,MI,26081,Kent County,"Kent County, Michigan",0.716,228204,1053
Missouri,MO,29029,Camden County,"Camden County, Missouri",0.715,17620,1054
Florida,FL,12131,Walton County,"Walton County, Florida",0.715,22519,1055
Louisiana,LA,22093,St. James Parish,"St. James Parish, Louisiana",0.714,7701,1056
South Dakota,SD,46009,Bon Homme County,"Bon Homme County, South Dakota",0.713,2523,1057
Maine,ME,23005,Cumberland County,"Cumberland County, Maine",0.713,117614,1058
Washington,WA,53045,Mason County,"Mason County, Washington",0.713,23274,1059
Pennsylvania,PA,42101,Philadelphia County,"Philadelphia County, Pennsylvania",0.712,580509,1060
South Carolina,SC,45091,York County,"York County, South Carolina",0.712,85805,1061
California,CA,6011,Colusa County,"Colusa County, California",0.712,6884,1062
North Carolina,NC,37163,Sampson County,"Sampson County, North Carolina",0.712,23467,1063
Oklahoma,OK,40099,Murray County,"Murray County, Oklahoma",0.711,5062,1064
Nebraska,NE,31119,Madison County,"Madison County, Nebraska",0.711,13923,1065
Montana,MT,30097,Sweet Grass County,"Sweet Grass County, Montana",0.710,1267,1066
North Carolina,NC,37067,Forsyth County,"Forsyth County, North Carolina",0.710,139033,1067
Missouri,MO,29011,Barton County,"Barton County, Missouri",0.710,4932,1068
Missouri,MO,29001,Adair County,"Adair County, Missouri",0.709,9597,1069
Colorado,CO,8119,Teller County,"Teller County, Colorado",0.708,9034,1070
Illinois,IL,17143,Peoria County,"Peoria County, Illinois",0.708,75847,1071
North Carolina,NC,37149,Polk County,"Polk County, North Carolina",0.707,8769,1072
North Carolina,NC,37095,Hyde County,"Hyde County, North Carolina",0.706,1982,1073
North Dakota,ND,38103,Wells County,"Wells County, North Dakota",0.706,1983,1074
Nebraska,NE,31085,Hayes County,"Hayes County, Nebraska",0.706,425,1075
Virginia,VA,51141,Patrick County,"Patrick County, Virginia",0.705,7519,1076
Michigan,MI,26127,Oceana County,"Oceana County, Michigan",0.704,9654,1077
Nebraska,NE,31081,Hamilton County,"Hamilton County, Nebraska",0.704,3408,1078
Arkansas,AR,5047,Franklin County,"Franklin County, Arkansas",0.703,6684,1079
West Virginia,WV,54093,Tucker County,"Tucker County, West Virginia",0.703,3129,1080
New Mexico,NM,35029,Luna County,"Luna County, New Mexico",0.703,9105,1081
Missouri,MO,29175,Randolph County,"Randolph County, Missouri",0.702,8978,1082
North Carolina,NC,37193,Wilkes County,"Wilkes County, North Carolina",0.701,27951,1083
New York,NY,36105,Sullivan County,"Sullivan County, New York",0.701,29664,1084
Wisconsin,WI,55011,Buffalo County,"Buffalo County, Wisconsin",0.701,5706,1085
Wisconsin,WI,55005,Barron County,"Barron County, Wisconsin",0.700,19010,1086
Minnesota,MN,27101,Murray County,"Murray County, Minnesota",0.699,3861,1087
New York,NY,36017,Chenango County,"Chenango County, New York",0.698,19779,1088
South Dakota,SD,46111,Sanborn County,"Sanborn County, South Dakota",0.697,1004,1089
Iowa,IA,19003,Adams County,"Adams County, Iowa",0.696,1723,1090
Georgia,GA,13187,Lumpkin County,"Lumpkin County, Georgia",0.696,10782,1091
Indiana,IN,18177,Wayne County,"Wayne County, Indiana",0.695,28202,1092
Pennsylvania,PA,42105,Potter County,"Potter County, Pennsylvania",0.694,7057,1093
New York,NY,36011,Cayuga County,"Cayuga County, New York",0.694,31427,1094
New Jersey,NJ,34013,Essex County,"Essex County, New Jersey",0.693,277453,1095
Michigan,MI,26039,Crawford County,"Crawford County, Michigan",0.692,5921,1096
Missouri,MO,29091,Howell County,"Howell County, Missouri",0.692,15606,1097
Wyoming,WY,56027,Niobrara County,"Niobrara County, Wyoming",0.691,1013,1098
South Dakota,SD,46035,Davison County,"Davison County, South Dakota",0.691,8395,1099
Alaska,AK,2020,Anchorage Municipality,"Anchorage Municipality, Alaska",0.691,105517,1100
Arkansas,AR,5133,Sevier County,"Sevier County, Arkansas",0.691,5791,1101
Rhode Island,RI,44007,Providence County,"Providence County, Rhode Island",0.690,238523,1102
Texas,TX,48441,Taylor County,"Taylor County, Texas",0.690,49423,1103
Virginia,VA,51187,Warren County,"Warren County, Virginia",0.690,14349,1104
Tennessee,TN,47159,Smith County,"Smith County, Tennessee",0.689,7256,1105
South Dakota,SD,46105,Perkins County,"Perkins County, South Dakota",0.689,1307,1106
Washington,WA,53027,Grays Harbor County,"Grays Harbor County, Washington",0.688,27905,1107
Mississippi,MS,28099,Neshoba County,"Neshoba County, Mississippi",0.688,10614,1108
Mississippi,MS,28157,Wilkinson County,"Wilkinson County, Mississippi",0.686,3497,1109
Kansas,KS,20139,Osage County,"Osage County, Kansas",0.686,6557,1110
Minnesota,MN,27159,Wadena County,"Wadena County, Minnesota",0.686,5833,1111
Iowa,IA,19073,Greene County,"Greene County, Iowa",0.685,4088,1112
West Virginia,WV,54061,Monongalia County,"Monongalia County, West Virginia",0.685,35777,1113
South Carolina,SC,45087,Union County,"Union County, South Carolina",0.685,11831,1114
Missouri,MO,29133,Mississippi County,"Mississippi County, Missouri",0.684,5261,1115
Oklahoma,OK,40079,Le Flore County,"Le Flore County, Oklahoma",0.684,18562,1116
Oklahoma,OK,40115,Ottawa County,"Ottawa County, Oklahoma",0.684,12137,1117
Minnesota,MN,27107,Norman County,"Norman County, Minnesota",0.683,2782,1118
Oklahoma,OK,40135,Sequoyah County,"Sequoyah County, Oklahoma",0.681,15566,1119
Oregon,OR,41045,Malheur County,"Malheur County, Oregon",0.681,10134,1120
North Carolina,NC,37011,Avery County,"Avery County, North Carolina",0.680,7201,1121
Oklahoma,OK,40113,Osage County,"Osage County, Oklahoma",0.680,18522,1122
Arkansas,AR,5085,Lonoke County,"Lonoke County, Arkansas",0.680,24998,1123
Nebraska,NE,31035,Clay County,"Clay County, Nebraska",0.680,2647,1124
Tennessee,TN,47023,Chester County,"Chester County, Tennessee",0.679,6034,1125
Kentucky,KY,21207,Russell County,"Russell County, Kentucky",0.679,7364,1126
Nevada,NV,32027,Pershing County,"Pershing County, Nevada",0.679,2062,1127
Louisiana,LA,22119,Webster Parish,"Webster Parish, Louisiana",0.678,16367,1128
North Dakota,ND,38029,Emmons County,"Emmons County, North Dakota",0.678,1623,1129
New York,NY,36087,Rockland County,"Rockland County, New York",0.677,98401,1130
Michigan,MI,26117,Montcalm County,"Montcalm County, Michigan",0.676,23361,1131
Tennessee,TN,47015,Cannon County,"Cannon County, Tennessee",0.676,5323,1132
Kentucky,KY,21115,Johnson County,"Johnson County, Kentucky",0.675,9329,1133
Kentucky,KY,21235,Whitley County,"Whitley County, Kentucky",0.675,13330,1134
Arkansas,AR,5093,Mississippi County,"Mississippi County, Arkansas",0.674,17207,1135
Colorado,CO,8049,Grand County,"Grand County, Colorado",0.674,5341,1136
Ohio,OH,39019,Carroll County,"Carroll County, Ohio",0.674,11424,1137
Arizona,AZ,4015,Mohave County,"Mohave County, Arizona",0.673,80355,1138
Indiana,IN,18119,Owen County,"Owen County, Indiana",0.671,8641,1139
Vermont,VT,50009,Essex County,"Essex County, Vermont",0.671,2831,1140
Colorado,CO,8045,Garfield County,"Garfield County, Colorado",0.671,20272,1141
Ohio,OH,39059,Guernsey County,"Guernsey County, Ohio",0.671,15808,1142
Pennsylvania,PA,42123,Warren County,"Warren County, Pennsylvania",0.670,17453,1143
Montana,MT,30061,Mineral County,"Mineral County, Montana",0.670,1641,1144
Michigan,MI,26151,Sanilac County,"Sanilac County, Michigan",0.670,16413,1145
Minnesota,MN,27017,Carlton County,"Carlton County, Minnesota",0.670,13739,1146
Illinois,IL,17151,Pope County,"Pope County, Illinois",0.669,1793,1147
Georgia,GA,13131,Grady County,"Grady County, Georgia",0.669,9568,1148
Kentucky,KY,21161,Mason County,"Mason County, Kentucky",0.669,6728,1149
Montana,MT,30041,Hill County,"Hill County, Montana",0.669,6130,1150
Texas,TX,48129,Donley County,"Donley County, Texas",0.668,1348,1151
Ohio,OH,39129,Pickaway County,"Pickaway County, Ohio",0.667,19196,1152
Iowa,IA,19109,Kossuth County,"Kossuth County, Iowa",0.667,6750,1153
Texas,TX,48401,Rusk County,"Rusk County, Texas",0.664,18060,1154
Florida,FL,12023,Columbia County,"Columbia County, Florida",0.664,23789,1155
Minnesota,MN,27137,St. Louis County,"St. Louis County, Minnesota",0.663,85478,1156
Oklahoma,OK,40015,Caddo County,"Caddo County, Oklahoma",0.663,10404,1157
Oklahoma,OK,40035,Craig County,"Craig County, Oklahoma",0.663,5730,1158
Alabama,AL,1031,Coffee County,"Coffee County, Alabama",0.663,19002,1159
Georgia,GA,13221,Oglethorpe County,"Oglethorpe County, Georgia",0.663,4981,1160
South Dakota,SD,46003,Aurora County,"Aurora County, South Dakota",0.662,1058,1161
Illinois,IL,17171,Scott County,"Scott County, Illinois",0.661,2118,1162
South Dakota,SD,46089,McPherson County,"McPherson County, South Dakota",0.661,1059,1162
Mississippi,MS,28043,Grenada County,"Grenada County, Mississippi",0.660,8483,1164
Tennessee,TN,47117,Marshall County,"Marshall County, Tennessee",0.659,11686,1165
Missouri,MO,29035,Carter County,"Carter County, Missouri",0.658,2432,1166
Illinois,IL,17103,Lee County,"Lee County, Illinois",0.658,13686,1167
Georgia,GA,13021,Bibb County,"Bibb County, Georgia",0.657,57108,1168
Kansas,KS,20209,Wyandotte County,"Wyandotte County, Kansas",0.656,57356,1169
Wisconsin,WI,55043,Grant County,"Grant County, Wisconsin",0.655,19377,1170
Kentucky,KY,21047,Christian County,"Christian County, Kentucky",0.655,26100,1171
North Carolina,NC,37171,Surry County,"Surry County, North Carolina",0.655,29916,1172
Texas,TX,48079,Cochran County,"Cochran County, Texas",0.655,1069,1173
Colorado,CO,8113,San Miguel County,"San Miguel County, Colorado",0.655,3360,1174
Iowa,IA,19131,Mitchell County,"Mitchell County, Iowa",0.653,4439,1175
Ohio,OH,39035,Cuyahoga County,"Cuyahoga County, Ohio",0.652,534899,1176
Iowa,IA,19043,Clayton County,"Clayton County, Iowa",0.652,7671,1177
Texas,TX,48339,Montgomery County,"Montgomery County, Texas",0.651,160190,1178
Tennessee,TN,47165,Sumner County,"Sumner County, Tennessee",0.651,60529,1179
South Carolina,SC,45059,Laurens County,"Laurens County, South Carolina",0.648,25014,1180
Ohio,OH,39141,Ross County,"Ross County, Ohio",0.647,27966,1181
Mississippi,MS,28131,Stone County,"Stone County, Mississippi",0.647,5873,1182
Nevada,NV,32003,Clark County,"Clark County, Nevada",0.647,706037,1183
Virginia,VA,51109,Louisa County,"Louisa County, Virginia",0.645,13023,1184
Mississippi,MS,28121,Rankin County,"Rankin County, Mississippi",0.645,52870,1185
Iowa,IA,19129,Mills County,"Mills County, Iowa",0.644,5431,1186
Kentucky,KY,21085,Grayson County,"Grayson County, Kentucky",0.644,9945,1187
North Carolina,NC,37155,Robeson County,"Robeson County, North Carolina",0.642,44989,1188
Missouri,MO,29185,St. Clair County,"St. Clair County, Missouri",0.641,4365,1189
Tennessee,TN,47087,Jackson County,"Jackson County, Tennessee",0.640,4530,1190
Missouri,MO,29221,Washington County,"Washington County, Missouri",0.640,9221,1191
Oklahoma,OK,40125,Pottawatomie County,"Pottawatomie County, Oklahoma",0.639,25492,1192
Oregon,OR,41069,Wheeler County,"Wheeler County, Oregon",0.639,626,1193
Virginia,VA,51155,Pulaski County,"Pulaski County, Virginia",0.639,14874,1194
Missouri,MO,29217,Vernon County,"Vernon County, Missouri",0.637,8160,1195
Nebraska,NE,31001,Adams County,"Adams County, Nebraska",0.637,12559,1196
Georgia,GA,13213,Murray County,"Murray County, Georgia",0.636,14302,1197
Texas,TX,48329,Midland County,"Midland County, Texas",0.635,49898,1198
New York,NY,36085,Richmond County,"Richmond County, New York",0.635,163675,1199
Texas,TX,48285,Lavaca County,"Lavaca County, Texas",0.635,7879,1200
Texas,TX,48395,Robertson County,"Robertson County, Texas",0.634,5989,1201
Vermont,VT,50017,Orange County,"Orange County, Vermont",0.634,11824,1202
Texas,TX,48279,Lamb County,"Lamb County, Texas",0.634,4890,1203
Alabama,AL,1095,Marshall County,"Marshall County, Alabama",0.634,34396,1204
Texas,TX,48197,Hardeman County,"Hardeman County, Texas",0.632,1740,1205
Georgia,GA,13137,Habersham County,"Habersham County, Georgia",0.631,14890,1206
Iowa,IA,19117,Lucas County,"Lucas County, Iowa",0.631,3647,1207
Utah,UT,49013,Duchesne County,"Duchesne County, Utah",0.630,6827,1208
Missouri,MO,29089,Howard County,"Howard County, Missouri",0.627,3826,1209
Colorado,CO,8121,Washington County,"Washington County, Colorado",0.627,2073,1210
Iowa,IA,19165,Shelby County,"Shelby County, Iowa",0.627,5106,1211
Louisiana,LA,22075,Plaquemines Parish,"Plaquemines Parish, Louisiana",0.627,8459,1212
Texas,TX,48275,Knox County,"Knox County, Texas",0.626,1598,1213
Pennsylvania,PA,42011,Berks County,"Berks County, Pennsylvania",0.624,153977,1214
Texas,TX,48497,Wise County,"Wise County, Texas",0.624,20352,1215
New Mexico,NM,35013,Dona Ana County,"Dona Ana County, New Mexico",0.624,73183,1216
Oklahoma,OK,40111,Okmulgee County,"Okmulgee County, Oklahoma",0.624,15229,1217
Louisiana,LA,22095,St. John the Baptist Parish,"St. John the Baptist Parish, Louisiana",0.624,15710,1218
Georgia,GA,13121,Fulton County,"Fulton County, Georgia",0.624,366140,1219
Texas,TX,48213,Henderson County,"Henderson County, Texas",0.624,30311,1220
Pennsylvania,PA,42005,Armstrong County,"Armstrong County, Pennsylvania",0.623,28724,1221
Tennessee,TN,47157,Shelby County,"Shelby County, Tennessee",0.623,341948,1222
Maine,ME,23013,Knox County,"Knox County, Maine",0.623,16857,1223
Kansas,KS,20099,Labette County,"Labette County, Kansas",0.622,8839,1224
Arkansas,AR,5111,Poinsett County,"Poinsett County, Arkansas",0.622,9329,1225
Virginia,VA,51670,Hopewell city,"Hopewell city, Virginia",0.622,8686,1226
Washington,WA,53021,Franklin County,"Franklin County, Washington",0.622,22847,1227
Indiana,IN,18071,Jackson County,"Jackson County, Indiana",0.621,16736,1228
California,CA,6037,Los Angeles County,"Los Angeles County, California",0.621,3218511,1229
Michigan,MI,26121,Muskegon County,"Muskegon County, Michigan",0.621,65247,1230
Alabama,AL,1021,Chilton County,"Chilton County, Alabama",0.620,16293,1231
Massachusetts,MA,25027,Worcester County,"Worcester County, Massachusetts",0.619,299350,1232
Minnesota,MN,27097,Morrison County,"Morrison County, Minnesota",0.619,13564,1233
Kansas,KS,20103,Leavenworth County,"Leavenworth County, Kansas",0.619,26167,1234
Arizona,AZ,4027,Yuma County,"Yuma County, Arizona",0.619,70111,1235
Michigan,MI,26079,Kalkaska County,"Kalkaska County, Michigan",0.618,7276,1236
Virginia,VA,51077,Grayson County,"Grayson County, Virginia",0.617,6807,1237
Kentucky,KY,21051,Clay County,"Clay County, Kentucky",0.617,6971,1238
North Carolina,NC,37033,Caswell County,"Caswell County, North Carolina",0.617,8755,1239
Indiana,IN,18043,Floyd County,"Floyd County, Indiana",0.617,29188,1240
Montana,MT,30105,Valley County,"Valley County, Montana",0.616,3247,1241
Pennsylvania,PA,42075,Lebanon County,"Lebanon County, Pennsylvania",0.616,52144,1242
Ohio,OH,39055,Geauga County,"Geauga County, Ohio",0.615,34624,1243
South Dakota,SD,46021,Campbell County,"Campbell County, South Dakota",0.613,652,1244
Alabama,AL,1097,Mobile County,"Mobile County, Alabama",0.613,156772,1245
Tennessee,TN,47059,Greene County,"Greene County, Tennessee",0.613,28891,1246
Mississippi,MS,28145,Union County,"Union County, Mississippi",0.612,10286,1247
Wisconsin,WI,55137,Waushara County,"Waushara County, Wisconsin",0.612,9963,1248
Texas,TX,48251,Johnson County,"Johnson County, Texas",0.612,51776,1249
Alabama,AL,1001,Autauga County,"Autauga County, Alabama",0.612,19934,1250
Indiana,IN,18131,Pulaski County,"Pulaski County, Indiana",0.611,5071,1251
New Jersey,NJ,34003,Bergen County,"Bergen County, New Jersey",0.611,334527,1252
Texas,TX,48091,Comal County,"Comal County, Texas",0.611,41112,1253
Washington,WA,53041,Lewis County,"Lewis County, Washington",0.610,29486,1254
Colorado,CO,8047,Gilpin County,"Gilpin County, Colorado",0.610,2458,1255
Kansas,KS,20047,Edwards County,"Edwards County, Kansas",0.610,1312,1256
Georgia,GA,13129,Gordon County,"Gordon County, Georgia",0.610,19194,1257
Texas,TX,48029,Bexar County,"Bexar County, Texas",0.609,596862,1258
North Dakota,ND,38073,Ransom County,"Ransom County, North Dakota",0.609,2298,1259
California,CA,6115,Yuba County,"Yuba County, California",0.609,24133,1260
Tennessee,TN,47045,Dyer County,"Dyer County, Tennessee",0.609,14953,1261
Nevada,NV,32005,Douglas County,"Douglas County, Nevada",0.609,19226,1262
Maine,ME,23011,Kennebec County,"Kennebec County, Maine",0.608,51276,1263
